city_id,city_name
159,Bacnotan
1802,Pidigan
764,Libacao
668,Santa Elena
235,Peñablanca
1456,Hinatuan
40,Aklan
525,Burdeos
242,Santo Niño (Faire)
917,Guindulman
1,Metro Manila
930,Alegria
767,Malay
86,Tabuk
373,San Leonardo
577,Mamburao
746,Donsol
1578,Bongao
1406,Bunawan
105,Banna
1443,Santa Monica (Sapao)
995,Cabucgayan
1152,Sergio Osmeña Sr.
430,San Antonio
506,Talisay
111,Laoag City
810,Buenavista
1364,Maasim
964,Santa Fe
1436,Mainit
592,Pola
519,Rodriguez
1787,Digos City
1549,Shariff Saydona Mustapha
1639,Tayabas City
196,Infanta
1619,Palayan City
1026,Alangalang
164,Burgos
1008,Giporlos
1266,Sapang Dalaga
733,Palanas
1785,Cebu City
449,Noveleta
64,Mankayan
400,Santo Tomas
1318,Magsaysay
1592,Candon City
1070,Catarman
781,Laua-An
559,Lopez
1329,Sarangani
680,Camaligan
858,Zarraga
1035,Dagami
910,Batuan
1665,San Miguel
1548,Shariff Aguak (Maganoy)
437,Alfonso
1601,San Quintin
146,Santa Cruz
771,Numancia
311,Dipaculao
302,Maddela
821,Banate
1062,Tolosa
1095,Gandara
127,Burgos
1020,San Julian
324,Pilar
315,Abucay
167,Naguilian
461,Liliw
1190,Diplahan
114,Pagudpud
1380,Tupi
1235,Kapatagan
1383,Columbio
1073,Laoang
1249,Sapad
1631,San Pablo City
490,Lian
389,Lubao
375,Santo Domingo
180,Alcala
797,Ivisan
973,Amlan
243,Solana
61,Lanao del Norte
1387,Lambayong (Mariano Marcos)
1328,Santa Maria
1230,Sagay
1444,Sison
851,San Joaquin
1039,Inopacan
215,Uyugan
74,Hungduan
794,Dao
320,Mariveles
1753,Iligan City
350,Santa Maria
690,Magarao
288,Bayombong
760,Buruanga
1596,San Carlos City
63,La Trinidad
1742,Dipolog City
703,Sipocot
1139,Kalawit
1034,Carigara
1009,Guiuan
1459,Lingig
744,Casiguran
1484,Bayang
279,Santiago City
85,Rizal
296,Solano
912,Candijay
1323,Sulop
22,Daguioman
1016,Mercedes
625,Banton
1747,Ramon Magsaysay (Liargo)
1573,Patikul
1471,Isabela City
652,Pio Duran
1112,Tarangnan
262,Maconacon
1130,San Ricardo
63,Misamis Oriental
1756,Oroquieta City
649,Malinao
130,Cervantes
357,Gabaldon
1233,Baloi
1119,Libagon
793,Cuartero
729,Mandaon
1022,Sulat
732,Monreal
1369,General Santos City (Dadiangas)
1617,Gapan City
1222,San Fernando
551,San Francisco
1432,Dapa
1501,Maguing
807,Sigma
983,Pamplona
1198,Payao
1072,Gamay
1430,Burgos
1628,Cabuyao
499,San Juan
928,Alcantara
920,Loay
1211,Kadingilan
101,Adams
1017,Oras
213,Mahatao
10,Muntinlupa
1633,Santa Rosa City
1625,Tagaytay City
653,Polangui
116,Pasuquin
1037,Hilongos
590,Naujan
1311,San Isidro
862,Candoni
1621,Bacoor
496,Padre Garcia
319,Limay
125,Banayoyo
682,Caramoan
1140,Katipunan
1057,San Miguel
919,Lila
541,Tiaong
813,San Lorenzo
176,Tubao
958,Poro
1333,Banaybanay
1657,San Carlos City
1236,Kauswagan
798,Jamindan
1071,Catubig
522,Taytay
537,Candelaria
1636,Tanauan City
483,Bauan
328,Balagtas
616,Puerto Princesa
1229,Mambajao
230,Gonzaga
1296,Mabini (Dona Alicia)
1320,Matanao
897,Dagohoy
720,Aroroy
819,Badiangan
1594,Alaminos
468,Paete
383,Apalit
1036,Dulag
355,Carranglan
1737,Tarangan
1517,Tubaran
382,Mabalacat
6,Makati
944,Cordova
337,Malolos City
952,Medellin
481,Balayan
941,Catmon
1614,Kasibu
1579,Languyan
543,Buenavista
508,Tingloy
1150,Rizal
1588,Turtle Islands
8,Ilocos Norte
1590,Pateros
1783,Bogo
439,Carmona
472,Pila
412,Paniqui
185,Basista
1746,Pagadian City
197,Labrador
395,Porac
1721,Tanjay City
1343,Alamada
1299,Mawab
1411,Rosario
651,Oas
206,Natividad
1064,Villab
122,Vintar
62,Misamis Occidental
225,Calayan
1337,Governor Generoso
916,Garcia Hernandez
637,San Fernando
513,Binangonan
361,Jaen
420,Victoria
1722,Enrique Villanueva
1460,Madrid
124,Alilem
883,Balilihan
1051,Mayorga
1184,Tigbao
1121,Limasawa
438,Amadeo
267,Quirino
657,Tiwi
1050,Matalom
34,Albay
1166,Dumingag
986,Siaton
1149,Pres. Manuel A. Roxas
626,Cajidiocan
1055,Pastrana
376,Talavera
1349,Kabacan
756,Altavas
60,Kabayan
763,Lezo
800,Mambusao
843,Mina
1237,Kolambugan
1294,Compostela
891,Panglao
392,Masantol
1402,Santiago
837,Lambunao
72,Banaue
692,Minalabac
1457,Lanuza
1391,President Quirino
312,Maria Aurora
1780,Kalingalan Caluang
1194,Mabuhay
1180,San Pablo
603,Bataraza
323,Orion
1689,Lapu-Lapu City
933,Asturias
1316,Hagonoy
1272,Balingoan
1651,Cadiz City
970,Tuburan
50,Luna
492,Mabini
131,Galimuyod
1798,Lagangilang
728,Esperanza
734,Pio V. Corpuz
1542,Pagagawan
333,Calumpit
9,Ilocos Sur
406,Capas
645,Guinobatan
1040,Isabel
66,Tuba
447,Mendez
189,Binmaley
69,Aguinaldo
620,San Vicente
615,Narra
300,Cabarroguis
274,San Manuel
903,Sagbayan
1441,San Francisco (Anao-Aon)
1473,Lantawan
993,Almeria
602,Balabac
388,Guagua
266,Quezon
827,Calinog
1352,Makilala
207,Pozorrubio
866,Hinoba-an
925,Sierra Bullones
1453,Carmen
1085,San Jose
936,Bantayan
1257,Bonifacio
975,Bacong
589,Mansalay
1489,Butig
1632,San Pedro
642,Bacacay
440,General Emilio Aguinaldo
961,San Fernando
317,Dinalupihan
761,Ibajay
1127,Saint Bernard
1806,Tayum
1418,Veruela
750,Magallanes
1045,La Paz
1079,Mondragon
1336,Cateel
554,Alabat
943,Consolacion
441,General Mariano Alvarez
384,Arayat
126,Bantay
1271,Balingasag
759,Batan
462,Luisiana
901,President Carlos P. Garcia
894,Bien Unido
926,Valencia
1449,Barobo
43,Tubo
631,Looc
1515,Tamparan
1170,Labangan
1757,Ozamis City
854,Santa Barbara
59,Itogon
934,Badian
1263,Lopez Jaena
1728,Borongan City
730,Milagros
1357,Pikit
136,Narvacan
868,Isabela
890,Maribojoc
1479,Ungkaya Pukan
1502,Malabang
194,Dasol
1612,Tuguegarao City
697,Pili
187,Bayambang
1238,Lala
1126,Pintuyan
115,Paoay
1288,Salay
1408,La Paz
667,San Vicente
1151,Salug
1717,Bindoy (Payabon)
1796,Dolores
29,Langiden
391,Magalang
1054,Palompon
1604,Santo Tomas
1025,Abuyog
996,Caibiran
948,Ginatilan
850,San Enrique
1398,Las Nieves
347,San Jose del Monte
1654,Kabankalan City
202,Manaoag
1132,Sogod
1761,Gingoog City
1144,Liloy
297,Villaverde
580,Sablayan
932,Argao
1660,Victorias City
229,Gattaran
605,Busuanga
1541,Northern Kabuntalan
861,Calatrava
1610,Urdaneta City
372,San Isidro
1774,Surigao City (Capital)
418,Santa Ignacia
1605,Sison
627,Calatrava
90,Barlig
1082,Rosario
593,Puerto Galera
758,Banga
839,Lemery
1415,Sibagat
1317,Kiblawan
283,Alfonso Castañeda
1116,Anahawan
1503,Marantao (Inudaran)
1163,Dimataling
1759,Cagayan De Oro City
1630,Los Banos
1218,Manolo Fortich
498,San Jose
1400,Nasipit
502,San Pascual
49,Siquijor
663,Labo
694,Ocampo
931,Aloguinsan
1388,Lebak
1462,San Agustin
1627,Binan
1765,Tagum City
488,Laurel
465,Magdalena
95,Paracelis
286,Bagabag
748,Irosin
160,Bagulin
1259,Clarin
1167,Guipos
451,Silang
342,Pandi
693,Nabua
991,Zamboanguita
1301,Montevista
595,San Teodoro
791,Valderrama
867,Ilog
443,Indang
435,Subic
497,Rosario
1591,Batac City
486,Cuenca
1285,Medina
752,Pilar
112,Marcos
863,Cauayan
1351,Magpet
608,Culion
4,Quezon City
11,Pangasinan
540,Sariaya
18,Bataan
386,Candaba
573,Calintaan
621,Sofronio Española
1431,Claver
769,Nabas
1341,Tarragona
1556,Upi
7,Mountain Province
1769,Butuan City
518,Pililla
188,Binalonan
702,San Jose
1287,Opol
743,Bulusan
591,Pinamalayan
1417,Trento
1379,T'Boli
1264,Panaon
1098,Marabut
1325,Don Marcelino
135,Nagbukel
666,San Lorenzo Ruiz
195,Mangatarem
425,Castillejos
1280,Laguindingan
370,Rizal
1421,Cagdianao
1304,Pantukan
675,Bombon
842,Miagao
852,San Miguel
802,Panitan
875,Salvador Benedicto
1,Manila
374,Santa Rosa
568,Mogpog
246,Angadanan
886,Corella
503,Santa Teresita
459,Famy
962,San Francisco
365,Lupao
222,Baggao
1096,Hinabangan
1468,Al-Barka
780,Hamtic
998,Kawayan
1455,Cortes
976,Basay
3,Apayao
172,San Juan
201,Malasiqu
1729,Baybay
1410,Prosperidad
299,Aglipay
1803,Pilar
1066,Allen
28,Lagayan
1481,Bacolod-Kalawi (Bacolod-Grande)
1386,Kalamansig
81,Balbalan
517,Morong
1784,Naga
411,Moncada
1394,Buenavista
1618,Munoz City
1652,Escalante City
612,Kalayaan
1273,Binuangan
1738,Hinundayan
1120,Liloan
345,Pulilan
65,Davao del Norte
1046,Leyte
377,Talugtug
706,Tinambac
1208,Dangcagan
911,Bilar
884,Calape
1227,Guinsiliban
1029,Barugo
628,Concepcion
158,Aringay
1661,Antequera
290,Dupax Del Norte
212,Ivana
560,Perez
3,Pasay
1638,Lucena City
321,Morong
555,Atimonan
811,Jordan
148,Santa Maria
1385,Isulan
232,Lal-Lo
143,San Vicente
1253,Tubod City
1794,Bucay
1207,Damulog
1332,Baganga
1033,Capoocan
1172,Lapuyan
480,Alitagtag
869,La Castellana
161,Balaoan
596,Socorro
806,Sapian
1346,Arakan
1512,Saguiaran
39,San Juan
1060,Tabontabon
1372,Lake Sebu
12,Batanes
203,Mangaldan
318,Hermosa
39,Sorsogon
1174,Margosatubig
1005,Can-Avid
724,Cataingan
951,Malabuyoc
1464,Tagbina
137,Quirino
106,Burgos
712,Gigmoto
1015,Maydolong
1165,Dumalinao
532,Panukulan
1598,San Jacinto
954,Moalboal
103,Badoc
581,San Jose
1452,Cantilan
1399,Magallanes
1162,Bayog
307,Casiguran
1018,Quinapondan
456,Bay
562,Quezon
162,Bangar
458,Cavinti
182,Asingan
433,San Narciso
1307,Braulio E. Dujali
1282,Lugait
1122,Maasin City
71,South Cotabato
1356,Pigkawayan
830,Dingle
1279,Lagonglong
1191,Imelda
600,Agutaya
1335,Caraga
1648,Iloilo City
504,Santo Tomas
1770,Cabadbaran City
918,Jagna
475,Santa Maria
611,El Nido
1196,Naga
403,Anao
84,Pinukpuk
924,Sevilla
1374,Polomolok
341,Obando
572,Abra de Ilog
149,Santiago
316,Bagac
1292,Villanueva
880,Alburquerque
893,"Tubigon,"
664,Mercedes
291,Dupax Del Sur
88,Tinglayan
1789,Taguig
61,Kapangan
512,Baras
413,Pura
907,Ubay
1760,El Salvador City
575,Lubang
410,Mayantoc
278,Santa Maria
1365,Maitum
683,Del Gallego
1801,Manabo
1074,Lapinig
1032,Calubian
799,Maayon
1624,Imus
405,Camiling
1666,Tagbilaran City
387,Floridablanca
409,La Paz
801,Panay
638,San Jose
244,Tuao
874,Pulupandan
62,Kibungan
1168,Josefina
1081,Pambujan
639,Santa Fe
385,Bacolor
67,Davao Occidental
887,Cortes
429,Palauig
417,San Manuel
727,Dimasalang
548,Padre Burgos
1437,Malimono
1637,Antipolo City
521,Tanay
674,Bato
356,Cuyapo
938,Boljoon
359,General Tinio
960,Samboan
909,Anda
1727,Siquijor
971,Tudela
1465,Tago
419,Tarlac City
444,Kawit
1309,Kapalong
1731,Ormoc City
268,Ramon
186,Bautista
1370,Banga
247,Aurora
1232,Bacolod
684,Gainza
1306,Asuncion (Saug)
587,Bulalacao
1348,Carmen
949,Liloan
354,Cabiao
643,Camalig
171,San Gabriel
563,Tagkawayan
569,Santa Cruz
988,Tayasan
132,Gregorio Del Pilar
219,Allacapan
922,Mabini
570,Torrijos
1804,Sallapadan
1492,Ganassi
1626,Trece Martires City
331,Bulakan
193,Calasiao
398,Santa Ana
945,Daanbantayan
994,Biliran
1298,Maragusan (San Mariano)
1384,Esperanza
1223,Sumilao
97,Sadanga
147,Santa Lucia
742,Bulan
1185,Tukuran
280,Santo Tomas
1300,Monkayo
107,Carasi
1255,Aloran
1779,Talitay
1730,Javier (Bugho)
442,General Trias
1219,Maramag
546,Macalelon
273,San Isidro
753,Prieto Diaz
98,Sagada
1265,Plaridel
460,Kalayaan
1313,Talaingod
1183,Tambulig
725,Cawayan
716,San Miguel
913,Carmen
1718,Canlaon City
820,Balasan
531,Pagbilao
966,Sibonga
1058,Santa Fe
1546,Parang
1125,Padre Burgos
241,Santa Teresita
1047,MacArthur
40,San Quintin
13,Pasig
536,Sampaloc
70,Alfonso Lista
699,Ragay
737,San Jacinto
1021,San Policarpo
1552,Sultan Mastura
775,Barbaza
709,Baras
1478,Tuburan
9,Marikina
1640,Calapan City
378,Zaragoza
1597,San Fabian
1350,Libungan
1777,Marawi City
65,Sablan
597,Victoria
1454,Carrascal
805,President Roxas
906,Trinidad
29,Marinduque
1193,Kabasalan
828,Carles
301,Diffun
366,Nampicuan
594,Roxas
1006,Dolores
825,Bingawan
1076,Lavezares
1635,Lipa City
368,Peñaranda
1148,Polanco
822,Barotac Nuevo
646,Jovellar
1662,Getafe (Jetafe)
1445,Socorro
1494,Kapatagan
485,Calatagan
523,Teresa
493,Malvar
310,Dingalan
1102,Paranas
585,Bansud
990,Vallehermoso
1416,Talacogon
1092,Basey
139,San Emilio
448,Naic
64,Compostela Valley
431,San Felipe
783,Pandan
54,Atok
544,Catanauan
281,Tumauini
134,Magsingal
138,Salcedo
1543,Pagalungan
1177,Pitogo
1164,Dinas
1048,Mahaplag
1023,Taft
1629,Calamba City
655,Santo Domingo
104,Bangui
190,Bolinao
826,Cabatuan
360,Guimba
1221,Quezon
51,Pudtol
955,Oslob
835,Igbaras
74,Agusan del Sur
1260,Concepcion
921,Loboc
1808,Villaviciosa
1128,San Francisco
685,Garchitorena
174,Santol
476,Siniloan
200,Mabini
670,Vinzons
957,Pinamungajan
968,Tabogon
264,Naguilian
1041,Jaro
817,Alimodian
533,Patnanungan
16,Quirino
929,Alcoy
452,Tanza
1644,Naga City
119,San Nicolas
565,Boac
467,Nagcarlan
1768,Tacurong City
576,Magsaysay
1414,Santa Josefa
67,Tublay
604,Brooke's Point
1137,Gutalac
47,Cebu
1585,Sitangkai
81,Sulu
1536,Guindulungan
1326,Jose Abad Santos (Trinidad)
1790,Carcar
1767,Kidapawan City
846,Passi City
1715,Bais City
676,Buhi
785,San Jose de Buenavista
236,Piat
1159,Tampilisan
1000,Naval
91,Bauko
915,Duero
1202,Titay
1195,Malangas
2,Abra
661,Daet
332,Bustos
489,Lemery
1117,Bontoc
59,Bukidnon
1179,San Miguel
154,Suyo
865,Hinigaran
542,Agdangan
1153,Siayan
630,Ferrol
1535,Gen. S. K. Pendatun
2,Caloocan
681,Canaman
1378,Tantangan
1608,Umingan
1109,Santo Niño
238,Sanchez-Mira
1395,Carmen
304,Saguday
1472,Lamitan City
234,Pamplona
1123,Macrohon
275,San Mariano
1019,Salcedo
329,Baliuag
1053,Palo
679,Calabanga
535,Real
558,Gumaca
269,Reina Mercedes
470,Pakil
1281,Libertad
334,Doña Remedios Trinidad
856,Tigbauan
841,Maasin
28,Quezon
1131,Silago
1438,Pilar
1555,Talayan
1382,Bagumbayan
208,Rosales
520,San Mateo
54,Samar
18,Bangued
1267,Sinacaban
109,Dingras
989,Valencia
889,Loon
633,Odiongan
718,Virac
1353,Matalam
803,Pilar
1007,General MacArthur
87,Tanudan
947,Dumanjug
257,Echague
233,Lasam
394,Minalin
1766,Mati City
963,San Remigio
1176,Molave
588,Gloria
619,Roxas
401,Sasmuan
1275,Gitagum
715,San Andres
688,Libmanan
857,Tubungan
796,Dumarao
1712,Talisay City
73,Agusan del Norte
1782,Toledo City
1752,Valencia City
529,Lucban
1277,Jasaan
1312,Santo Tomas
1643,Iriga City
1104,San Jorge
1203,Tungawan
892,Sikatuna
1724,Lazi
265,Palanan
1743,Jose Dalman (Ponot)
1154,Sibuco
1344,Aleosan
8,Mandaluyong
338,Marilao
477,Victoria
505,Taal
701,San Fernando
656,Tabaco City
76,Lagawe
77,Lamut
1716,Bayawan City (Tulong)
549,Pitogo
654,Rapu-Rapu
669,Talisay
795,Dumalag
1788,San Juan
66,Davao del Sur
1558,Banguingui
205,Mapandan
1118,Hinunangan
547,Mulanay
422,Botolan
249,Burgos
1283,Magsaysay (Linugos)
772,Tangalan
984,San Jose
896,Clarin
295,Santa Fe
330,Bocaue
343,Paombong
92,Besao
184,Bani
1650,Bago City
1274,Claveria
878,Valladolid
1027,Albuera
51,Eastern Samar
979,Jimalalud
855,Sara
1595,Dagupan City
424,Candelaria
507,Taysan
833,Estancia
1412,San Francisco
1361,Alabel
25,La Paz
899,Getafe
629,Corcuera
1206,Cabanglasan
776,Belison
178,Agno
226,Camalaniugan
974,Ayungon
876,San Enrique
789,Tibiao
1013,Llorente
1791,Cotabato
473,Rizal
1310,New Corella
539,San Antonio
466,Majayjay
969,Tabuelan
677,Bula
1359,Tulunan
721,Baleno
574,Looc
808,Tapaz
528,Jomalig
1764,Samal Island Garden City
1201,Talusan
397,San Simon
1659,Talisay City
157,Agoo
469,Pagsanjan
432,San Marcelino
1642,Ligao City
747,Gubat
1645,Masbate City
223,Ballesteros
1142,Labason
1425,San Jose
358,General Mamerto Natividad
1124,Malitbog
1068,Bobon
1214,Kitaotao
939,Borbo
660,Capalonga
584,Baco
1519,Wao
723,Batuan
1077,Lope De Vega
1239,Linamon
1775,Bislig City
120,Sarrat
665,Paracale
678,Cabusao
118,Pinili
93,Bontoc
362,Laur
1145,Manukan
380,Angeles City
514,Cainta
511,Angono
1286,Naawan
882,Baclayon
352,Aliaga
254,Delfin Albano
474,Santa Cruz
1303,New Bataan
1429,Bacuag
1220,Pangantucan
117,Piddig
22,Tarlac
923,Pilar
1725,Maria
1245,Pantao Ragat
78,Mayoyao
1067,Biri
1,Metro Manila (NCR)
1615,Balanga City
509,Tuy
705,Tigaon
672,Baao
1241,Maigo
978,Dauin
1210,Impasugong
1199,Roseller T. Lim
840,Leon
644,Daraga
457,Calauan
446,Maragondon
1250,Sultan Naga Dimaporo(Karomatan)
1038,Hindang
128,Cabugao
1792,Sipalay City
102,Bacarra
1284,Manticao
1403,Tubay
231,Iguig
659,Basud
121,Solsona
739,Uson
293,Kayapa
1366,Malapatan
738,San Pascual
610,Dumaran
75,Dinagat Islands
96,Sabangan
662,Jose Panganiban
1188,Alicia
1327,Malita
1224,Talakag
1319,Malalag
1291,Talisayan
1049,Matag-Ob
5,Las Piñas
1732,Tacloban City
1719,Dumaguete City
1209,Don Carlos
484,Calaca
1216,Libona
965,Santander
57,Zamboanga del Sur
599,Aborlan
757,Balete
1212,Kalilangan
141,San Ildefonso
774,Anini-y
1483,Balindong (Watu)
586,Bongabong
58,Zamboanga Sibugay
285,Aritao
935,Balamban
479,Agoncillo
779,Culasi
1248,Salvador
636,San Andres
1059,Tabango
1340,San Isidro
1641,Legazpi City
1793,Boliney
516,Jalajala
1776,Tandag City
250,Cabagan
1345,Antipas
1003,Balangiga
556,Calauag
1161,Aurora
1810,Flora
1423,Libjo (Abjor)
1409,Loreto
895,Buenavista
1470,Hadji Muhtamad
1623,Dasmarinas
399,Santa Rita
1192,Ipil
673,Balatan
1156,Sindangan
1226,Catarman
647,Libon
1658,Silay City
1362,Glan
860,Binalbagan
1157,Siocon
1084,San Isidro
689,Lupi
818,Anilao
1751,Malaybalay City
985,Santa Catalina
1434,General Luna
561,Plaridel
832,Dumangas
309,Dinalungan
1805,San Isidro
271,San Agustin
1693,Mandaue City
346,San Ildefonso
163,Bauang
1401,Remedios T. Romualdez
179,Aguilar
434,Santa Cruz
691,Milaor
396,San Luis
864,Enrique B. Magalona
129,Caoayan
1525,Datu Abdullah Sangki
1584,Simunul
1376,Surallah
1763,Panabo City
152,Sinait
464,Mabitac
1213,Kibawe
181,Anda
1215,Lantapan
1551,Sultan Kudarat
787,Sebaste
845,Oton
306,Baler
407,Concepcion
426,Iba
1439,Placer
557,Guinayangan
1302,Nabunturan
142,San Juan
175,Sudipen
1355,M'Lang
1407,Esperanza
704,Siruma
831,Dueñas
1786,Davao City
393,Mexico
1647,Roxas City
1308,Carmen
427,Masinloc
1276,Initao
183,Balungao
1338,Lupon
1363,Kiamba
150,Santo Domingo
804,Pontevedra
261,Luna
1413,San Luis
308,Dilasag
487,Ibaan
1217,Malitbog
1258,Calamba
982,Manjuyod
648,Malilipot
336,Hagonoy
239,Santa Ana
166,Luna
553,Unisan
1367,Malungon
900,Inabanga
1426,Tubajon
455,Alaminos
416,San Jose
1354,Midsayap
527,Infanta
1771,Bayugan City
221,Aparri
482,Balete
1723,Larena
1114,Zumarraga
582,Santa Cruz
844,New Lucena
1433,Del Carmen
696,Pasacao
1268,Tudela
260,Jones
1044,Kananga
950,Madridejos
1811,Santa Marcela
367,Pantabangan
1461,Marihatag
1358,President Roxas
871,Moises Padilla
390,Macabebe
16,Valenzuela
7,Malabon
1622,Cavite City
526,General Nakar
812,Nueva Valencia
327,Angat
1428,Alegria
1600,San Nicolas
937,Barili
76,Surigao del Norte
259,Ilagan City
1735,Paranas (Wright)
1086,San Roque
566,Buenavista
967,Sogod
23,Zambales
1289,Sugbongcogon
284,Ambaguio
1063,Tunga
94,Natonin
322,Orani
1602,Santa Barbara
1646,Sorsogon City
340,Norzagaray
276,San Mateo
494,Mataasnakahoy
617,Quezon
1031,Burauen
1002,Arteche
1111,Talalora
849,San Dionisio
408,Gerona
169,Rosario
1741,Dapitan City
1611,Villasis
1373,Norala
49,Kabugao
1270,Alubijid
1799,Luba
754,Santa Magdalena
873,Pontevedra
1800,Malibcong
428,Olongapo City
1634,Batangas City
1599,San Manuel
99,Tadian
69,Cotabato
1807,Tineg
303,Nagtipunan
997,Culaba
1446,Tagana-an
1726,San Juan
218,Alcala
515,Cardona
1315,Bansalan
1375,Santo Nino
23,Danglas
56,Zamboanga del Norte
751,Matnog
908,Alicia
1056,San Isidro
133,Lidlidda
6,Kalinga
294,Quezon
1733,Calbayog City
173,Santo Tomas
731,Mobo
686,Goa
788,Sibalom
224,Buguey
624,Alcantara
55,Baguio
5,Ifugao
270,Roxas
1030,Bato
214,Sabtang
1189,Buug
453,Ternate
1739,San Juan (Cabalian)
745,Castilla
1748,Sominot (Don Mariano Marcos)
534,Polillo
613,Linapacan
1603,Santa Maria
423,Cabangan
635,San Agustin
287,Bambang
1297,Maco
735,Placer
363,Licab
500,San Luis
73,Hingyon
263,Mallig
914,Dimiao
622,Taytay
713,Pandan
43,Guimaras
1228,Mahinog
1435,Gigaquit
277,San Pablo
10,La Union
1371,Koronadal City
1589,Zamboanga City
946,Dalaguete
1290,Tagoloan
415,San Clemente
25,Laguna
768,Malinao
75,Kiangan
1377,Tampakan
823,Barotac Viejo
782,Libertad
1052,Merida
1531,Datu Piang
335,Guiguinto
501,San Nicolas
1613,Alicia
888,Dauis
165,Caba
977,Bindoy
770,New Washington
618,Rizal
78,Basilan
1686,Danao City
227,Claveria
1593,Vigan City
471,Pangil
445,Magallanes
1620,San Jose City
940,Carmen
1812,Tinoc
369,Quezon
1200,Siay
313,San Luis
1663,Pres. Carlos P. Garcia (Pitogo)
717,Viga
463,Lumban
353,Bongabon
538,Dolores
905,Talibon
1147,Piñan
1133,Tomas Oppus
816,Ajuy
550,San Andres
1397,Kitcharao
766,Makato
834,Guimbal
824,Batad
11,Navotas
762,Kalibo
578,Paluan
848,Pototan
1655,La Carlota City
885,Catigbian
567,Gasan
1561,Jolo
168,Pugo
272,San Guillermo
192,Burgos
898,Danao
1093,Calbiga
829,Concepcion
404,Bamban
58,Buguias
77,Surigao del Sur
987,Sibulan
1606,Sual
609,Cuyo
1758,Tangub City
1205,Baungon
70,Sarangani
228,Enrile
836,Janiuay
650,Manito
210,Basco
1664,Sagbayan (Borja)
325,Samal
1447,Tubod
155,Tagudin
959,Ronda
145,Santa Catalina
47,Conner
790,Tobias Fornier
12,Parañaque
258,Gamu
1607,Tayug
371,San Antonio
251,Cabatuan
414,Ramos
1173,Mahayag
765,Madalag
1028,Babatngon
640,Santa Maria
55,Southern Leyte
1649,Bacolod City
450,Rosario
199,Lingayen
847,Pavia
495,Nasugbu
607,Coron
198,Laoac
634,Romblon
545,General Luna
1262,Jimenez
237,Rizal
687,Lagonoy
1080,Palapag
13,Cagayan
1322,Santa Cruz
1609,Urbiztondo
814,Sibunag
1321,Padada
1097,Jiabong
695,Pamplona
777,Bugasong
981,Mabinay
980,La Libertad
57,Bokod
708,Bagamanoc
1616,Cabanatuan City
252,Cauayan City
191,Bugallon
870,Manapla
1234,Baroy
34,Peñarrubia
1278,Kinoguitan
1113,Villareal
60,Camiguin
1106,San Sebastian
491,Lobo
217,Abulug
853,San Rafael
698,Presentacion
1734,Catbalogan City
579,Rizal
1529,Datu Odin Sinsuat
253,Cordon
530,Mauban
72,Sultan Kudarat
1061,Tanauan
50,Biliran
877,Toboso
1560,Indanan
339,Meycauayan City
170,San Fernando City
838,Leganes
552,San Narciso
1656,Sagay City
1720,Guihulngan
144,Santa
108,Currimao
1450,Bayabas
1422,Dinagat
784,Patnongon
344,Plaridel
349,San Rafael
942,Compostela
348,San Miguel
140,San Esteban
364,Llanera
220,Amulung
700,Sagñay
1474,Maluso
710,Bato
749,Juban
1475,Sumisip
1075,Las Navas
4,Benguet
381,San Fernando
953,Minglanilla
1424,Loreto
741,Barcelona
248,Benito Soliven
872,Murcia
1458,Lianga
71,Asipulo
1550,South Upi
1256,Baliangao
1653,Himamaylan City
289,Diadi
56,Bakun
1083,San Antonio
1107,Santa Margarita
